x,y,z
96.833,20.045,0.4950083
96.833,20.05,0.4952878
96.833,20.055,0.4951269
96.833,20.06,0.4949236
96.833,20.065,0.4951138
96.833,20.07,0.494988
96.833,20.075,0.4949474
96.833,20.08,0.4951269
96.833,20.085,0.4951844
96.833,20.09,0.495137
96.833,20.095,0.4949134
96.833,20.1,0.4949227
96.833,20.105,0.4946389
96.833,20.11,0.4946694
96.833,20.115,0.4945763
96.833,20.12,0.4947609
96.833,20.125,0.494578
96.833,20.13,0.4946599
96.833,20.135,0.494517
96.833,20.14,0.4947391
96.833,20.145,0.4945492
96.833,20.15,0.4942535
96.833,20.155,0.4938705
96.833,20.16,0.4945998
96.833,20.165,0.4943262
96.833,20.17,0.494373
96.833,20.175,0.4941807
96.833,20.18,0.4941415
96.833,20.185,0.493963
96.833,20.19,0.4940875
96.833,20.195,0.4937529
96.833,20.2,0.49393
96.833,20.205,0.4938156
96.833,20.21,0.4937241
96.833,20.215,0.4935412
96.833,20.22,0.4938291
96.833,20.225,0.4938661
96.833,20.23,0.4938529
96.833,20.235,0.4938156
96.833,20.24,0.4937319
96.833,20.245,0.4935259
96.833,20.25,0.4936275
96.833,20.255,0.4933582
96.833,20.26,0.4935499
96.833,20.265,0.4935513
96.833,20.27,0.4936106
96.833,20.275,0.4934497
96.833,20.28,0.493481
96.833,20.285,0.493298
96.833,20.29,0.4933477
96.833,20.295,0.4932667
96.833,20.3,0.4932057
96.833,20.305,0.4931447
96.833,20.31,0.4932574
96.833,20.315,0.4929008
96.833,20.32,0.4929617
96.833,20.325,0.4927282
96.833,20.33,0.4930956
96.833,20.335,0.492696
96.833,20.34,0.4924958
96.833,20.345,0.492689
96.833,20.35,0.4926873
96.833,20.355,0.4926924
96.833,20.36,0.4927727
96.833,20.365,0.4927178
96.833,20.37,0.4927483
96.833,20.375,0.492628
96.833,20.38,0.4927883
96.833,20.385,0.4924908
96.838,20.02,0.493243
96.838,20.025,0.4931134
96.838,20.03,0.4944377
96.838,20.035,0.4948346
96.838,20.04,0.4948524
96.838,20.045,0.4952258
96.838,20.05,0.4953708
96.838,20.055,0.4952099
96.838,20.06,0.4952056
96.838,20.065,0.4952489
96.838,20.07,0.4951142
96.838,20.075,0.4950922
96.838,20.08,0.4951878
96.838,20.085,0.495259
96.838,20.09,0.4952271
96.838,20.095,0.4951442
96.838,20.1,0.4950625
